N	x	f(x)
1	1.0	320.76
2	2.0	330.08
3	3.0	341.52
4	4.0	355.14
5	5.0	371.00
6	6.0	389.16
7	7.0	409.68
8	8.0	432.62
9	9.0	458.04
10	10.0	486.00
11	11.0	516.56
12	12.0	549.78
13	13.0	585.72
14	14.0	624.44
15	15.0	666.00
16	16.0	710.46
17	17.0	757.88
18	18.0	808.32
19	19.0	861.84
20	20.0	918.50
21	21.0	978.36
22	22.0	1041.48
23	23.0	1107.92
24	24.0	1177.74
25	25.0	1251.00
26	26.0	1327.76
27	27.0	1408.08
28	28.0	1492.02
29	29.0	1579.64
30	30.0	1671.00
31	31.0	1766.16
32	32.0	1865.18
33	33.0	1968.12
34	34.0	2075.04
35	35.0	2186.00
36	36.0	2301.06
37	37.0	2420.28
38	38.0	2543.72
39	39.0	2671.44
40	40.0	2803.50
41	41.0	2939.96
42	42.0	3080.88
43	43.0	3226.32
44	44.0	3376.34
45	45.0	3531.00
46	46.0	3690.36
47	47.0	3854.48
48	48.0	4023.42
49	49.0	4197.24
50	50.0	4376.00
51	51.0	4559.76
52	52.0	4748.58
53	53.0	4942.52
54	54.0	5141.64
55	55.0	5346.00
56	56.0	5555.66
57	57.0	5770.68
58	58.0	5991.12
59	59.0	6217.04
60	60.0	6448.50
61	61.0	6685.56
62	62.0	6928.28
63	63.0	7176.72
64	64.0	7430.94
65	65.0	7691.00
66	66.0	7956.96
67	67.0	8228.88
68	68.0	8506.82
69	69.0	8790.84
70	70.0	9081.00
71	71.0	9377.36
72	72.0	9679.98
73	73.0	9988.92
74	74.0	10304.24
75	75.0	10626.00
76	76.0	10954.26
77	77.0	11289.08
78	78.0	11630.52
79	79.0	11978.64
80	80.0	12333.50
81	81.0	12695.16
82	82.0	13063.68
83	83.0	13439.12
84	84.0	13821.54
85	85.0	14211.00
86	86.0	14607.56
87	87.0	15011.28
88	88.0	15422.22
89	89.0	15840.44
90	90.0	16266.00
91	91.0	16698.96
92	92.0	17139.38
93	93.0	17587.32
94	94.0	18042.84
95	95.0	18506.00
96	96.0	18976.86
97	97.0	19455.48
98	98.0	19941.92
99	99.0	20436.24
100	100.0	20938.50
101	101.0	21448.76
102	102.0	21967.08
103	103.0	22493.52
104	104.0	23028.14
105	105.0	23571.00
106	106.0	24122.16
107	107.0	24681.68
108	108.0	25249.62
109	109.0	25826.04
110	110.0	26411.00
111	111.0	27004.56
112	112.0	27606.78
113	113.0	28217.72
114	114.0	28837.44
115	115.0	29466.00
116	116.0	30103.46
117	117.0	30749.88
118	118.0	31405.32
119	119.0	32069.84
120	120.0	32743.50
121	121.0	33426.36
122	122.0	34118.48
123	123.0	34819.92
124	124.0	35530.74
125	125.0	36251.00
126	126.0	36980.76
127	127.0	37720.08
128	128.0	38469.02
129	129.0	39227.64
130	130.0	39996.00
131	131.0	40774.16
132	132.0	41562.18
133	133.0	42360.12
134	134.0	43168.04
135	135.0	43986.00
136	136.0	44814.06
137	137.0	45652.28
138	138.0	46500.72
139	139.0	47359.44
140	140.0	48228.50
141	141.0	49107.96
142	142.0	49997.88
143	143.0	50898.32
144	144.0	51809.34
145	145.0	52731.00
146	146.0	53663.36
147	147.0	54606.48
148	148.0	55560.42
149	149.0	56525.24
150	150.0	57501.00
151	151.0	58487.76
152	152.0	59485.58
153	153.0	60494.52
154	154.0	61514.64
155	155.0	62546.00
156	156.0	63588.66
157	157.0	64642.68
158	158.0	65708.12
159	159.0	66785.04
160	160.0	67873.50
161	161.0	68973.56
162	162.0	70085.28
163	163.0	71208.72
164	164.0	72343.94
165	165.0	73491.00
166	166.0	74649.96
167	167.0	75820.88
168	168.0	77003.82
169	169.0	78198.84
170	170.0	79406.00
171	171.0	80625.36
172	172.0	81856.98
173	173.0	83100.92
174	174.0	84357.24
175	175.0	85626.00
176	176.0	86907.26
177	177.0	88201.08
178	178.0	89507.52
179	179.0	90826.64
180	180.0	92158.50
181	181.0	93503.16
182	182.0	94860.68
183	183.0	96231.12
184	184.0	97614.54
185	185.0	99011.00
186	186.0	100420.56
187	187.0	101843.28
188	188.0	103279.22
189	189.0	104728.44
190	190.0	106191.00
191	191.0	107666.96
192	192.0	109156.38
193	193.0	110659.32
194	194.0	112175.84
195	195.0	113706.00
196	196.0	115249.86
197	197.0	116807.48
198	198.0	118378.92
199	199.0	119964.24
200	200.0	121563.50
RE-22, Kraevskiy
